'INGRID' | 1297957800 | 1297960523 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297986591 | 1297988805 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297991855 | 1297994392 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297994396 | 1297997068 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1297997071 | 1298000560 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298000754 | 1298003512 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298009852 | 1298012732 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298012735 | 1298015542 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298015544 | 1298018498 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298018501 | 1298021419 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298021422 | 1298024255 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298024258 | 1298027278 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298027281 | 1298030019 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298030021 | 1298033100 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298033102 | 1298035775 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298035777 | 1298038670 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
